Plane (hkl),I_exp_raw,I_exp_normalized,I_reference,I_ratio,TC,TC_Error
021,141.0,4.542525773195876,12.0,0.3785438144329896,0.6408430142189195,0.12725960566049468
230,377.0,12.14561855670103,70.0,0.17350883652430044,0.2937359469428969,0.04519014568352261
211,2306.0,74.29123711340206,75.0,0.9905498281786942,1.6769180037320042,0.02617911887873034
221,3104.0,100.0,100.0,1.0,1.6929163541578949,0.021270534088968396
301,1475.0,47.519329896907216,60.0,0.7919888316151202,1.3407708453516403,0.036359887331569904
311,407.0,13.112113402061857,20.0,0.6556056701030928,1.1098855607961715,0.0381778816981484
240,78.0,2.5128865979381443,60.0,0.04188144329896907,0.07090178029656131,0.00818097464960323
321,637.0,20.521907216494846,30.0,0.6840635738831615,1.1580624115105016,0.03635988733156991
041,256.0,8.24742268041237,25.0,0.3298969072164948,0.5584878694129137,0.03272389859841291
141,511.0,16.462628865979383,35.0,0.4703608247422681,0.7962815325613811,0.028049055941496787
411,162.0,5.219072164948454,12.0,0.43492268041237114,0.7362877184642906,0.095444704245371
250,334.0,10.760309278350515,35.0,0.3074374079528719,0.5204658158033293,0.028049055941496787
431,340.0,10.95360824742268,35.0,0.312960235640648,0.5298155011171615,0.02337421328458066
501,361.0,11.630154639175258,30.0,0.38767182130584193,0.6562959663348369,0.03817788169814841
002,1882.0,60.63144329896907,25.0,2.4252577319587627,4.105758477480874,0.054539830997354856
212,117.0,3.7693298969072164,8.0,0.47116623711340205,0.7976450283363149,0.095444704245371
531,156.0,5.025773195876289,16.0,0.31411082474226804,0.5317633522242099,0.03749613381068147
061,285.0,9.181701030927837,45.0,0.20403780068728525,0.34541892964991416,0.0133319586882423
322,297.0,9.568298969072163,14.0,0.6834499263622974,1.1570235575867422,0.04674842656916132
242,365.0,11.7590206185567,18.0,0.6532789232531501,1.105946573001918,0.033329896720605746
422,365.0,11.7590206185567,10.0,1.1759020618556701,1.9907038314034526,0.059993814097090356
370,27.0,0.8698453608247423,8.0,0.10873067010309279,0.18407192961607266,0.020452436624008075
