Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00240780	-0.10000000	0.00082773	-0.10000000	0.00216868	-0.10000000	0.00164950	-0.10000000	0.00177822	-0.10000000	0.00167002	-0.10000000	0.00274605	-0.10000000	0.00175351	-0.10000000	0.00155030	-0.10000000	0.00163400	-0.10000000	0.00177669	-0.10000000	0.00074115	-0.10000000	0.00198600
-0.09530000	0.00240183	-0.09530000	0.00082638	-0.09530000	0.00215848	-0.09530000	0.00164928	-0.09530000	0.00177861	-0.09530000	0.00164917	-0.09530000	0.00267107	-0.09530000	0.00171922	-0.09530000	0.00154425	-0.09530000	0.00161668	-0.09530000	0.00177747	-0.09530000	0.00074092	-0.09530000	0.00197538
-0.09060000	0.00239494	-0.09060000	0.00082710	-0.09060000	0.00214884	-0.09060000	0.00165005	-0.09060000	0.00177992	-0.09060000	0.00162756	-0.09060000	0.00259628	-0.09060000	0.00168462	-0.09060000	0.00153782	-0.09060000	0.00159876	-0.09060000	0.00177683	-0.09060000	0.00073993	-0.09060000	0.00196638
-0.08590000	0.00238852	-0.08590000	0.00082654	-0.08590000	0.00213458	-0.08590000	0.00164944	-0.08590000	0.00178057	-0.08590000	0.00160569	-0.08590000	0.00252125	-0.08590000	0.00164991	-0.08590000	0.00153116	-0.08590000	0.00158090	-0.08590000	0.00177564	-0.08590000	0.00073903	-0.08590000	0.00195626
-0.08120000	0.00238127	-0.08120000	0.00082540	-0.08120000	0.00211683	-0.08120000	0.00164661	-0.08120000	0.00177749	-0.08120000	0.00158292	-0.08120000	0.00244660	-0.08120000	0.00161417	-0.08120000	0.00152400	-0.08120000	0.00156223	-0.08120000	0.00177407	-0.08120000	0.00073801	-0.08120000	0.00194784
-0.07650000	0.00237152	-0.07650000	0.00082345	-0.07650000	0.00209825	-0.07650000	0.00164135	-0.07650000	0.00177268	-0.07650000	0.00156001	-0.07650000	0.00237220	-0.07650000	0.00157903	-0.07650000	0.00151675	-0.07650000	0.00154363	-0.07650000	0.00177224	-0.07650000	0.00073717	-0.07650000	0.00193836
-0.07180000	0.00236328	-0.07180000	0.00082187	-0.07180000	0.00207691	-0.07180000	0.00163575	-0.07180000	0.00176945	-0.07180000	0.00153630	-0.07180000	0.00229706	-0.07180000	0.00154312	-0.07180000	0.00150838	-0.07180000	0.00152404	-0.07180000	0.00177000	-0.07180000	0.00073561	-0.07180000	0.00192697
-0.06710000	0.00235432	-0.06710000	0.00082093	-0.06710000	0.00205571	-0.06710000	0.00163039	-0.06710000	0.00176377	-0.06710000	0.00151283	-0.06710000	0.00222205	-0.06710000	0.00150625	-0.06710000	0.00150182	-0.06710000	0.00150352	-0.06710000	0.00176629	-0.06710000	0.00073452	-0.06710000	0.00191615
-0.06240000	0.00234749	-0.06240000	0.00081976	-0.06240000	0.00203437	-0.06240000	0.00162266	-0.06240000	0.00175940	-0.06240000	0.00148980	-0.06240000	0.00214713	-0.06240000	0.00146984	-0.06240000	0.00149418	-0.06240000	0.00148484	-0.06240000	0.00176403	-0.06240000	0.00073401	-0.06240000	0.00190473
-0.05770000	0.00233946	-0.05770000	0.00081800	-0.05770000	0.00201210	-0.05770000	0.00161541	-0.05770000	0.00175373	-0.05770000	0.00146598	-0.05770000	0.00207227	-0.05770000	0.00143318	-0.05770000	0.00148509	-0.05770000	0.00146496	-0.05770000	0.00176056	-0.05770000	0.00073192	-0.05770000	0.00189231
-0.05300000	0.00232873	-0.05300000	0.00081565	-0.05300000	0.00198678	-0.05300000	0.00160713	-0.05300000	0.00174831	-0.05300000	0.00144147	-0.05300000	0.00199705	-0.05300000	0.00139551	-0.05300000	0.00147615	-0.05300000	0.00144415	-0.05300000	0.00175628	-0.05300000	0.00073051	-0.05300000	0.00188162
-0.04830000	0.00231934	-0.04830000	0.00081323	-0.04830000	0.00196194	-0.04830000	0.00159957	-0.04830000	0.00174386	-0.04830000	0.00141756	-0.04830000	0.00192237	-0.04830000	0.00135721	-0.04830000	0.00146781	-0.04830000	0.00142274	-0.04830000	0.00175333	-0.04830000	0.00072923	-0.04830000	0.00186908
-0.04360000	0.00231183	-0.04360000	0.00081060	-0.04360000	0.00193816	-0.04360000	0.00159138	-0.04360000	0.00173585	-0.04360000	0.00139296	-0.04360000	0.00184624	-0.04360000	0.00131895	-0.04360000	0.00145979	-0.04360000	0.00140285	-0.04360000	0.00174849	-0.04360000	0.00072783	-0.04360000	0.00185828
-0.03895000	0.00230220	-0.03895000	0.00080820	-0.03895000	0.00191227	-0.03895000	0.00158215	-0.03895000	0.00172812	-0.03895000	0.00136823	-0.03895000	0.00177161	-0.03895000	0.00128061	-0.03895000	0.00144952	-0.03895000	0.00138223	-0.03895000	0.00174560	-0.03895000	0.00072622	-0.03895000	0.00184479
-0.03425000	0.00229231	-0.03425000	0.00080573	-0.03425000	0.00188533	-0.03425000	0.00157266	-0.03425000	0.00172079	-0.03425000	0.00134390	-0.03425000	0.00169641	-0.03425000	0.00124116	-0.03425000	0.00144071	-0.03425000	0.00136060	-0.03425000	0.00174005	-0.03425000	0.00072412	-0.03425000	0.00183261
-0.02955000	0.00228162	-0.02955000	0.00080311	-0.02955000	0.00185767	-0.02955000	0.00156368	-0.02955000	0.00171363	-0.02955000	0.00131923	-0.02955000	0.00162115	-0.02955000	0.00120093	-0.02955000	0.00143026	-0.02955000	0.00133990	-0.02955000	0.00173590	-0.02955000	0.00072298	-0.02955000	0.00182056
-0.02485000	0.00227098	-0.02485000	0.00080062	-0.02485000	0.00182952	-0.02485000	0.00155317	-0.02485000	0.00170565	-0.02485000	0.00129367	-0.02485000	0.00154582	-0.02485000	0.00116134	-0.02485000	0.00142068	-0.02485000	0.00131847	-0.02485000	0.00173272	-0.02485000	0.00072141	-0.02485000	0.00180460
-0.02015000	0.00226027	-0.02015000	0.00079772	-0.02015000	0.00180278	-0.02015000	0.00154307	-0.02015000	0.00169857	-0.02015000	0.00126729	-0.02015000	0.00147047	-0.02015000	0.00112049	-0.02015000	0.00141062	-0.02015000	0.00129688	-0.02015000	0.00172692	-0.02015000	0.00071996	-0.02015000	0.00179066
-0.01545000	0.00225179	-0.01545000	0.00079463	-0.01545000	0.00177399	-0.01545000	0.00153132	-0.01545000	0.00168905	-0.01545000	0.00124153	-0.01545000	0.00139353	-0.01545000	0.00107874	-0.01545000	0.00140090	-0.01545000	0.00127447	-0.01545000	0.00172231	-0.01545000	0.00071810	-0.01545000	0.00177553
-0.01075000	0.00223767	-0.01075000	0.00079194	-0.01075000	0.00174504	-0.01075000	0.00152040	-0.01075000	0.00168007	-0.01075000	0.00121505	-0.01075000	0.00131766	-0.01075000	0.00103669	-0.01075000	0.00139032	-0.01075000	0.00125216	-0.01075000	0.00171840	-0.01075000	0.00071670	-0.01075000	0.00176206
-0.00605000	0.00222883	-0.00605000	0.00078916	-0.00605000	0.00171590	-0.00605000	0.00151036	-0.00605000	0.00167183	-0.00605000	0.00118891	-0.00605000	0.00124115	-0.00605000	0.00099365	-0.00605000	0.00137847	-0.00605000	0.00123014	-0.00605000	0.00171253	-0.00605000	0.00071470	-0.00605000	0.00174644
-0.00135000	0.00221858	-0.00135000	0.00078569	-0.00135000	0.00168593	-0.00135000	0.00149786	-0.00135000	0.00166248	-0.00135000	0.00116212	-0.00135000	0.00116459	-0.00135000	0.00094951	-0.00135000	0.00136782	-0.00135000	0.00120766	-0.00135000	0.00170687	-0.00135000	0.00071318	-0.00135000	0.00173068
0.00335000	0.00220863	0.00335000	0.00078045	0.00335000	0.00164944	0.00335000	0.00148133	0.00335000	0.00164862	0.00335000	0.00113387	0.00335000	0.00108754	0.00335000	0.00090365	0.00335000	0.00135630	0.00335000	0.00118418	0.00335000	0.00170043	0.00335000	0.00071160	0.00335000	0.00171444
0.00805000	0.00219709	0.00805000	0.00077793	0.00805000	0.00162174	0.00805000	0.00147044	0.00805000	0.00164125	0.00805000	0.00110663	0.00805000	0.00100948	0.00805000	0.00085737	0.00805000	0.00134432	0.00805000	0.00116132	0.00805000	0.00169469	0.00805000	0.00070929	0.00805000	0.00169556
0.01275000	0.00218542	0.01275000	0.00077477	0.01275000	0.00159083	0.01275000	0.00145679	0.01275000	0.00163116	0.01275000	0.00107948	0.01275000	0.00093285	0.01275000	0.00081019	0.01275000	0.00133144	0.01275000	0.00113843	0.01275000	0.00168922	0.01275000	0.00070720	0.01275000	0.00167987
0.01745000	0.00217327	0.01745000	0.00077167	0.01745000	0.00155811	0.01745000	0.00144443	0.01745000	0.00162200	0.01745000	0.00105107	0.01745000	0.00085634	0.01745000	0.00076026	0.01745000	0.00131801	0.01745000	0.00111542	0.01745000	0.00168287	0.01745000	0.00070490	0.01745000	0.00166177
0.02215000	0.00216135	0.02215000	0.00076800	0.02215000	0.00152661	0.02215000	0.00143072	0.02215000	0.00161146	0.02215000	0.00102241	0.02215000	0.00077897	0.02215000	0.00070915	0.02215000	0.00130596	0.02215000	0.00109117	0.02215000	0.00167647	0.02215000	0.00070286	0.02215000	0.00164504
0.02685000	0.00214958	0.02685000	0.00076402	0.02685000	0.00149365	0.02685000	0.00141653	0.02685000	0.00159966	0.02685000	0.00099365	0.02685000	0.00070109	0.02685000	0.00065758	0.02685000	0.00129325	0.02685000	0.00106733	0.02685000	0.00167030	0.02685000	0.00070108	0.02685000	0.00162698
0.03155000	0.00213818	0.03155000	0.00076017	0.03155000	0.00146160	0.03155000	0.00140173	0.03155000	0.00158935	0.03155000	0.00096520	0.03155000	0.00062383	0.03155000	0.00060373	0.03155000	0.00127946	0.03155000	0.00104485	0.03155000	0.00166440	0.03155000	0.00069913	0.03155000	0.00160777
0.03625000	0.00212372	0.03625000	0.00075646	0.03625000	0.00142611	0.03625000	0.00138665	0.03625000	0.00157825	0.03625000	0.00093430	0.03625000	0.00054623	0.03625000	0.00054751	0.03625000	0.00126555	0.03625000	0.00101993	0.03625000	0.00165739	0.03625000	0.00069682	0.03625000	0.00158874
0.04095000	0.00210976	0.04095000	0.00075238	0.04095000	0.00139108	0.04095000	0.00137096	0.04095000	0.00156611	0.04095000	0.00090503	0.04095000	0.00046857	0.04095000	0.00048972	0.04095000	0.00125145	0.04095000	0.00099565	0.04095000	0.00165036	0.04095000	0.00069464	0.04095000	0.00156931
0.04565000	0.00209667	0.04565000	0.00074836	0.04565000	0.00135495	0.04565000	0.00135542	0.04565000	0.00155434	0.04565000	0.00087469	0.04565000	0.00039009	0.04565000	0.00043095	0.04565000	0.00123576	0.04565000	0.00097071	0.04565000	0.00164181	0.04565000	0.00069305	0.04565000	0.00154912
0.05035000	0.00208131	0.05035000	0.00074417	0.05035000	0.00131891	0.05035000	0.00133786	0.05035000	0.00154113	0.05035000	0.00084360	0.05035000	0.00031236	0.05035000	0.00036907	0.05035000	0.00121921	0.05035000	0.00094552	0.05035000	0.00163280	0.05035000	0.00069102	0.05035000	0.00152710
0.05505000	0.00206961	0.05505000	0.00074003	0.05505000	0.00128140	0.05505000	0.00132028	0.05505000	0.00152827	0.05505000	0.00081203	0.05505000	0.00023479	0.05505000	0.00030448	0.05505000	0.00120367	0.05505000	0.00092049	0.05505000	0.00162466	0.05505000	0.00068885	0.05505000	0.00150437
0.05975000	0.00205637	0.05975000	0.00073580	0.05975000	0.00124354	0.05975000	0.00130351	0.05975000	0.00151394	0.05975000	0.00078002	0.05975000	0.00015672	0.05975000	0.00023790	0.05975000	0.00118789	0.05975000	0.00089471	0.05975000	0.00161770	0.05975000	0.00068713	0.05975000	0.00148112
0.06445000	0.00204053	0.06445000	0.00073137	0.06445000	0.00120510	0.06445000	0.00128469	0.06445000	0.00149981	0.06445000	0.00074683	0.06445000	0.00007878	0.06445000	0.00016808	0.06445000	0.00117143	0.06445000	0.00086865	0.06445000	0.00160979	0.06445000	0.00068476	0.06445000	0.00145799
0.06915000	0.00202733	0.06915000	0.00072666	0.06915000	0.00116637	0.06915000	0.00126747	0.06915000	0.00148612	0.06915000	0.00071467	0.06915000	-0.00000110	0.06915000	0.00009518	0.06915000	0.00115410	0.06915000	0.00084157	0.06915000	0.00160056	0.06915000	0.00068258	0.06915000	0.00143366
0.07385000	0.00201190	0.07385000	0.00072120	0.07385000	0.00112533	0.07385000	0.00124751	0.07385000	0.00147120	0.07385000	0.00068094	0.07385000	-0.00007935	0.07385000	0.00001968	0.07385000	0.00113500	0.07385000	0.00081470	0.07385000	0.00159011	0.07385000	0.00068058	0.07385000	0.00140921
