Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00337056	-0.10000000	0.00336633	-0.10000000	0.00404456	-0.10000000	0.00329466	-0.10000000	0.00320396	-0.10000000	0.00338940	-0.10000000	0.00351954	-0.10000000	0.00188469	-0.10000000	0.00243934	-0.10000000	0.00255516	-0.10000000	0.00222363
-0.09530000	0.00328140	-0.09530000	0.00328542	-0.09530000	0.00394072	-0.09530000	0.00322173	-0.09530000	0.00317427	-0.09530000	0.00332456	-0.09530000	0.00346318	-0.09530000	0.00184629	-0.09530000	0.00241885	-0.09530000	0.00253563	-0.09530000	0.00220416
-0.09060000	0.00319176	-0.09060000	0.00319463	-0.09060000	0.00383486	-0.09060000	0.00314774	-0.09060000	0.00314496	-0.09060000	0.00326061	-0.09060000	0.00340756	-0.09060000	0.00180778	-0.09060000	0.00239796	-0.09060000	0.00251493	-0.09060000	0.00218422
-0.08590000	0.00310150	-0.08590000	0.00310515	-0.08590000	0.00372624	-0.08590000	0.00307321	-0.08590000	0.00311518	-0.08590000	0.00319415	-0.08590000	0.00335077	-0.08590000	0.00176859	-0.08590000	0.00237621	-0.08590000	0.00249345	-0.08590000	0.00216625
-0.08120000	0.00300941	-0.08120000	0.00301481	-0.08120000	0.00361845	-0.08120000	0.00299812	-0.08120000	0.00308305	-0.08120000	0.00312852	-0.08120000	0.00329421	-0.08120000	0.00172980	-0.08120000	0.00235433	-0.08120000	0.00247137	-0.08120000	0.00214592
-0.07650000	0.00291788	-0.07650000	0.00292466	-0.07650000	0.00350904	-0.07650000	0.00292339	-0.07650000	0.00305223	-0.07650000	0.00306282	-0.07650000	0.00323852	-0.07650000	0.00169101	-0.07650000	0.00233182	-0.07650000	0.00245086	-0.07650000	0.00212540
-0.07180000	0.00282591	-0.07180000	0.00283323	-0.07180000	0.00339974	-0.07180000	0.00284540	-0.07180000	0.00301896	-0.07180000	0.00299631	-0.07180000	0.00318140	-0.07180000	0.00165318	-0.07180000	0.00230954	-0.07180000	0.00242787	-0.07180000	0.00210619
-0.06710000	0.00273394	-0.06710000	0.00274200	-0.06710000	0.00329093	-0.06710000	0.00276910	-0.06710000	0.00298707	-0.06710000	0.00293131	-0.06710000	0.00312483	-0.06710000	0.00161415	-0.06710000	0.00228817	-0.06710000	0.00240536	-0.06710000	0.00208571
-0.06240000	0.00264106	-0.06240000	0.00265127	-0.06240000	0.00318049	-0.06240000	0.00269308	-0.06240000	0.00295740	-0.06240000	0.00286391	-0.06240000	0.00306468	-0.06240000	0.00157492	-0.06240000	0.00226500	-0.06240000	0.00238453	-0.06240000	0.00206477
