Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
Mo_400Sb_30Se_1 2026-07-09 12-05-45	0.06559524	0.00139978	7.5967210419077755	0.00070312	0.03303295	0.02322612	25.609792338934465	0.13314621356050685	45.439134	47.672	4.627e-05				14.571	12:05:45	2026-09-07
Mo_400Sb_30Se_2 2026-07-09 12-07-33	0.0696874	0.00143818	6.370107964016063	0.00072579	0.0348906	0.0253231	25.580634619040044	0.11842901339691966	47.221744	49.02	5.045e-05				14.549	12:07:33	2026-09-07
Mo_400Sb_30Se_3 2026-07-09 12-09-34	0.065423	0.00169671	6.276745868699383	0.0008561	0.03303616	0.02828219	25.795065350763597	0.11052716096009432	36.901723	39.331	5.623e-05				14.562	12:09:34	2026-09-07
Mo_400Sb_30Se_5 2026-07-09 12-11-24	0.0887568	0.00165445	10.61138718721289	0.00083491	0.04500764	0.03757719	25.907747789105578	0.25453842162123597	50.368541	54.896	7.46e-05				14.558	12:11:24	2026-09-07
Mo_400Sb_30Se_6 2026-07-09 12-12-38	0.2650255	0.00254017	11.251141912738232	0.00134059	0.1432959	0.19210168	28.889630858724946	0.8985393952225005	74.49887	131.715	0.00036785				14.562	12:12:38	2026-09-07
Mo_400Sb_30Se_7 2026-07-09 12-13-59	0.12858896	0.00198809	10.174612313522001	0.00101086	0.0646124	0.06531402	25.865934808840315	0.35301525761517166	61.382865	67.526	0.00012975				14.548	12:13:59	2026-09-07
Mo_400Sb_30Se_8 2026-07-09 12-15-13	0.14656392	0.00228532	12.402672418469734	0.00118688	0.07568566	0.0898299	27.1523167150157	0.5148056862591703	54.70754	72.934	0.00017543				14.548	12:15:13	2026-09-07
Mo_400Sb_30Se_9 2026-07-09 12-16-33	0.11050598	0.00105259	8.521968244010232	0.00053501	0.05635366	0.03014965	26.241947904978787	0.25779793575142645	96.228021	112.623	5.957e-05				14.804	12:16:33	2026-09-07
Mo_400Sb_30Se_10 2026-07-09 12-17-48	0.26156292	0.00197877	13.861640869845104	0.00108179	0.14398535	0.15576232	30.46860238467421	1.1521888584445936	89.215818	190.23	0.0002922				14.804	12:17:48	2026-09-07
Mo_400Sb_30Se_11 2026-07-09 12-19-34	0.2729874	0.00209643	12.861576024940016	0.00114821	0.15201759	0.17454775	30.87812661027467	1.130755083709705	80.328113	186.053	0.00032643				14.563	12:19:34	2026-09-07
Mo_400Sb_30Se_12 2026-07-09 12-22-06	0.25275656	0.00180164	14.236320399230745	0.00099	0.14483347	0.14338479	31.878094663737148	1.1964392320908155	77.610448	207.39	0.00026518				14.553	12:22:06	2026-09-07
