Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00113182	-0.10000000	0.00130586	-0.10000000	0.00126775	-0.10000000	0.00200622	-0.10000000	0.00150275	-0.10000000	0.00135796	-0.10000000	0.00130516	-0.10000000	0.00176475	-0.10000000	0.00170839	-0.10000000	0.00154247
-0.09530000	0.00111104	-0.09530000	0.00129324	-0.09530000	0.00124954	-0.09530000	0.00197085	-0.09530000	0.00146602	-0.09530000	0.00133753	-0.09530000	0.00128147	-0.09530000	0.00173065	-0.09530000	0.00166129	-0.09530000	0.00149462
-0.09060000	0.00108991	-0.09060000	0.00128052	-0.09060000	0.00123040	-0.09060000	0.00193507	-0.09060000	0.00142839	-0.09060000	0.00131663	-0.09060000	0.00125724	-0.09060000	0.00169513	-0.09060000	0.00161476	-0.09060000	0.00144635
-0.08590000	0.00106926	-0.08590000	0.00126736	-0.08590000	0.00121104	-0.08590000	0.00189895	-0.08590000	0.00139068	-0.08590000	0.00129623	-0.08590000	0.00123281	-0.08590000	0.00165940	-0.08590000	0.00156819	-0.08590000	0.00139823
-0.08120000	0.00104851	-0.08120000	0.00125369	-0.08120000	0.00119196	-0.08120000	0.00186319	-0.08120000	0.00135368	-0.08120000	0.00127524	-0.08120000	0.00120894	-0.08120000	0.00162324	-0.08120000	0.00152144	-0.08120000	0.00135053
-0.07650000	0.00102712	-0.07650000	0.00124070	-0.07650000	0.00117250	-0.07650000	0.00182905	-0.07650000	0.00131670	-0.07650000	0.00125476	-0.07650000	0.00118510	-0.07650000	0.00158902	-0.07650000	0.00147511	-0.07650000	0.00130267
-0.07180000	0.00100647	-0.07180000	0.00122719	-0.07180000	0.00115230	-0.07180000	0.00179116	-0.07180000	0.00127919	-0.07180000	0.00123351	-0.07180000	0.00116087	-0.07180000	0.00155375	-0.07180000	0.00142850	-0.07180000	0.00125510
-0.06710000	0.00098539	-0.06710000	0.00121435	-0.06710000	0.00113288	-0.06710000	0.00175649	-0.06710000	0.00124152	-0.06710000	0.00121265	-0.06710000	0.00113685	-0.06710000	0.00151827	-0.06710000	0.00138202	-0.06710000	0.00120719
-0.06240000	0.00096459	-0.06240000	0.00120076	-0.06240000	0.00111379	-0.06240000	0.00172113	-0.06240000	0.00120414	-0.06240000	0.00119156	-0.06240000	0.00111288	-0.06240000	0.00148255	-0.06240000	0.00133520	-0.06240000	0.00115924
