Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40	0.13766524	0.0012722	6.504377107432765	0.00064406	0.06955753	0.04479939	48.10710493061145	0.2418793350126485	102.626851	112.55	8.89e-05				14.551	13:06:40	2026-09-07
Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33	0.27197523	0.00191307	8.137738998251317	0.00101228	0.14681241	0.14861472	53.7179549022679	0.6675742033598158	99.320745	175.69	0.00028453				14.563	13:08:33	2026-09-07
Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06	0.18035255	0.00160244	7.676114467430839	0.00082297	0.09267053	0.07626495	49.62933526079136	0.38576271169856335	98.332952	122.977	0.00014994				14.541	13:10:06	2026-09-07
Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56	0.14559311	0.00231382	6.650289090848409	0.00118002	0.07387045	0.08716882	48.66397718260832	0.2645837702842248	57.685111	67.062	0.00017228				14.545	13:11:56	2026-09-07
Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31	0.12967689	0.00189836	5.735213700345992	0.00095487	0.06506473	0.06212805	47.46390901645093	0.19822513979493372	65.700877	69.438	0.00012397				14.824	13:25:31	2026-09-07
Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50	0.0691695	0.00133314	4.725712780820636	0.00067021	0.03472798	0.02327496	47.46955108587339	0.0871488744967533	50.400738	51.645	4.637e-05				14.802	13:26:50	2026-09-07
Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	0.05074155	0.00098459	5.510821353282699	0.00049114	0.02547621	0.0125123	47.101312021567445	0.07396222356618906	50.407183	51.177	2.502e-05				14.815	13:28:07	2026-09-07
Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38	0.08671571	0.00132694	6.135320920050396	0.00066545	0.04350995	0.02895384	47.323045349870156	0.14138429364665472	64.735692	65.582	5.775e-05				14.549	13:20:38	2026-09-07
Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13	0.18391567	0.00170688	7.9612642927051125	0.00087005	0.09400212	0.08178645	48.997611554456505	0.4028309171369147	97.483866	114.665	0.00016138				14.549	13:22:13	2026-09-07
Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33	0.14635379	0.00148309	7.8858881517616854	0.00074794	0.07378009	0.05518305	47.81352925166274	0.3098331248887014	95.020639	102.088	0.0001098				14.551	13:23:33	2026-09-07
