Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00265354	-0.10000000	0.00091221	-0.10000000	0.00239001	-0.10000000	0.00181785	-0.10000000	0.00195970	-0.10000000	0.00184046	-0.10000000	0.00302631	-0.10000000	0.00193247	-0.10000000	0.00170852	-0.10000000	0.00180077	-0.10000000	0.00195802	-0.10000000	0.00081679	-0.10000000	0.00218869
-0.09530000	0.00264696	-0.09530000	0.00091072	-0.09530000	0.00237877	-0.09530000	0.00181760	-0.09530000	0.00196013	-0.09530000	0.00181748	-0.09530000	0.00294368	-0.09530000	0.00189468	-0.09530000	0.00170186	-0.09530000	0.00178168	-0.09530000	0.00195888	-0.09530000	0.00081654	-0.09530000	0.00217699
-0.09060000	0.00263937	-0.09060000	0.00091151	-0.09060000	0.00236815	-0.09060000	0.00181845	-0.09060000	0.00196158	-0.09060000	0.00179367	-0.09060000	0.00286126	-0.09060000	0.00185655	-0.09060000	0.00169477	-0.09060000	0.00176193	-0.09060000	0.00195817	-0.09060000	0.00081545	-0.09060000	0.00216707
-0.08590000	0.00263229	-0.08590000	0.00091090	-0.08590000	0.00235243	-0.08590000	0.00181778	-0.08590000	0.00196229	-0.08590000	0.00176957	-0.08590000	0.00277857	-0.08590000	0.00181830	-0.08590000	0.00168743	-0.08590000	0.00174225	-0.08590000	0.00195686	-0.08590000	0.00081445	-0.08590000	0.00215592
-0.08120000	0.00262430	-0.08120000	0.00090964	-0.08120000	0.00233287	-0.08120000	0.00181466	-0.08120000	0.00195890	-0.08120000	0.00174447	-0.08120000	0.00269630	-0.08120000	0.00177891	-0.08120000	0.00167954	-0.08120000	0.00172167	-0.08120000	0.00195513	-0.08120000	0.00081333	-0.08120000	0.00214664
-0.07650000	0.00261356	-0.07650000	0.00090749	-0.07650000	0.00231240	-0.07650000	0.00180886	-0.07650000	0.00195360	-0.07650000	0.00171922	-0.07650000	0.00261431	-0.07650000	0.00174019	-0.07650000	0.00167155	-0.07650000	0.00170117	-0.07650000	0.00195311	-0.07650000	0.00081240	-0.07650000	0.00213619
-0.07180000	0.00260447	-0.07180000	0.00090575	-0.07180000	0.00228888	-0.07180000	0.00180269	-0.07180000	0.00195004	-0.07180000	0.00169309	-0.07180000	0.00253150	-0.07180000	0.00170061	-0.07180000	0.00166232	-0.07180000	0.00167958	-0.07180000	0.00195065	-0.07180000	0.00081069	-0.07180000	0.00212364
-0.06710000	0.00259460	-0.06710000	0.00090471	-0.06710000	0.00226551	-0.06710000	0.00179679	-0.06710000	0.00194378	-0.06710000	0.00166723	-0.06710000	0.00244883	-0.06710000	0.00165998	-0.06710000	0.00165510	-0.06710000	0.00165697	-0.06710000	0.00194656	-0.06710000	0.00080948	-0.06710000	0.00211171
-0.06240000	0.00258707	-0.06240000	0.00090342	-0.06240000	0.00224200	-0.06240000	0.00178827	-0.06240000	0.00193896	-0.06240000	0.00164185	-0.06240000	0.00236626	-0.06240000	0.00161985	-0.06240000	0.00164667	-0.06240000	0.00163638	-0.06240000	0.00194407	-0.06240000	0.00080892	-0.06240000	0.00209912
-0.05770000	0.00257822	-0.05770000	0.00090148	-0.05770000	0.00221745	-0.05770000	0.00178028	-0.05770000	0.00193272	-0.05770000	0.00161560	-0.05770000	0.00228376	-0.05770000	0.00157945	-0.05770000	0.00163666	-0.05770000	0.00161447	-0.05770000	0.00194024	-0.05770000	0.00080662	-0.05770000	0.00208544
-0.05300000	0.00256640	-0.05300000	0.00089889	-0.05300000	0.00218955	-0.05300000	0.00177115	-0.05300000	0.00192674	-0.05300000	0.00158858	-0.05300000	0.00220087	-0.05300000	0.00153793	-0.05300000	0.00162680	-0.05300000	0.00159154	-0.05300000	0.00193553	-0.05300000	0.00080506	-0.05300000	0.00207366
-0.04830000	0.00255605	-0.04830000	0.00089623	-0.04830000	0.00216217	-0.04830000	0.00176282	-0.04830000	0.00192184	-0.04830000	0.00156224	-0.04830000	0.00211857	-0.04830000	0.00149573	-0.04830000	0.00161761	-0.04830000	0.00156794	-0.04830000	0.00193227	-0.04830000	0.00080366	-0.04830000	0.00205984
-0.04360000	0.00254777	-0.04360000	0.00089333	-0.04360000	0.00213597	-0.04360000	0.00175380	-0.04360000	0.00191301	-0.04360000	0.00153512	-0.04360000	0.00203467	-0.04360000	0.00145356	-0.04360000	0.00160878	-0.04360000	0.00154602	-0.04360000	0.00192694	-0.04360000	0.00080211	-0.04360000	0.00204793
-0.03895000	0.00253716	-0.03895000	0.00089068	-0.03895000	0.00210743	-0.03895000	0.00174362	-0.03895000	0.00190449	-0.03895000	0.00150787	-0.03895000	0.00195242	-0.03895000	0.00141131	-0.03895000	0.00159746	-0.03895000	0.00152330	-0.03895000	0.00192376	-0.03895000	0.00080034	-0.03895000	0.00203307
-0.03425000	0.00252626	-0.03425000	0.00088796	-0.03425000	0.00207775	-0.03425000	0.00173316	-0.03425000	0.00189641	-0.03425000	0.00148106	-0.03425000	0.00186954	-0.03425000	0.00136783	-0.03425000	0.00158775	-0.03425000	0.00149946	-0.03425000	0.00191764	-0.03425000	0.00079802	-0.03425000	0.00201964
-0.02955000	0.00251448	-0.02955000	0.00088508	-0.02955000	0.00204726	-0.02955000	0.00172327	-0.02955000	0.00188852	-0.02955000	0.00145387	-0.02955000	0.00178660	-0.02955000	0.00132350	-0.02955000	0.00157623	-0.02955000	0.00147665	-0.02955000	0.00191307	-0.02955000	0.00079677	-0.02955000	0.00200636
-0.02485000	0.00250276	-0.02485000	0.00088233	-0.02485000	0.00201624	-0.02485000	0.00171169	-0.02485000	0.00187973	-0.02485000	0.00142570	-0.02485000	0.00170358	-0.02485000	0.00127987	-0.02485000	0.00156567	-0.02485000	0.00145303	-0.02485000	0.00190956	-0.02485000	0.00079504	-0.02485000	0.00198878
