Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00341243	-0.10000000	0.00340814	-0.10000000	0.00409480	-0.10000000	0.00333558	-0.10000000	0.00324376	-0.10000000	0.00343150	-0.10000000	0.00356326	-0.10000000	0.00190810	-0.10000000	0.00246964	-0.10000000	0.00258690	-0.10000000	0.00225125
-0.09530000	0.00332216	-0.09530000	0.00332623	-0.09530000	0.00398967	-0.09530000	0.00326175	-0.09530000	0.00321370	-0.09530000	0.00336585	-0.09530000	0.00350620	-0.09530000	0.00186922	-0.09530000	0.00244889	-0.09530000	0.00256712	-0.09530000	0.00223154
-0.09060000	0.00323140	-0.09060000	0.00323431	-0.09060000	0.00388249	-0.09060000	0.00318684	-0.09060000	0.00318402	-0.09060000	0.00330111	-0.09060000	0.00344988	-0.09060000	0.00183023	-0.09060000	0.00242774	-0.09060000	0.00254617	-0.09060000	0.00221135
-0.08590000	0.00314002	-0.08590000	0.00314372	-0.08590000	0.00377252	-0.08590000	0.00311138	-0.08590000	0.00315387	-0.08590000	0.00323382	-0.08590000	0.00339239	-0.08590000	0.00179056	-0.08590000	0.00240572	-0.08590000	0.00252442	-0.08590000	0.00219316
-0.08120000	0.00304679	-0.08120000	0.00305226	-0.08120000	0.00366339	-0.08120000	0.00303536	-0.08120000	0.00312134	-0.08120000	0.00316738	-0.08120000	0.00333513	-0.08120000	0.00175129	-0.08120000	0.00238357	-0.08120000	0.00250207	-0.08120000	0.00217257
-0.07650000	0.00295412	-0.07650000	0.00296099	-0.07650000	0.00355263	-0.07650000	0.00295970	-0.07650000	0.00309014	-0.07650000	0.00310086	-0.07650000	0.00327875	-0.07650000	0.00171201	-0.07650000	0.00236078	-0.07650000	0.00248130	-0.07650000	0.00215180
-0.07180000	0.00286101	-0.07180000	0.00286842	-0.07180000	0.00344197	-0.07180000	0.00288074	-0.07180000	0.00305646	-0.07180000	0.00303353	-0.07180000	0.00322092	-0.07180000	0.00167371	-0.07180000	0.00233823	-0.07180000	0.00245803	-0.07180000	0.00213235
-0.06710000	0.00276790	-0.06710000	0.00277606	-0.06710000	0.00333181	-0.06710000	0.00280349	-0.06710000	0.00302417	-0.06710000	0.00296772	-0.06710000	0.00316364	-0.06710000	0.00163420	-0.06710000	0.00231659	-0.06710000	0.00243524	-0.06710000	0.00211162
-0.06240000	0.00267386	-0.06240000	0.00268420	-0.06240000	0.00321999	-0.06240000	0.00272653	-0.06240000	0.00299413	-0.06240000	0.00289948	-0.06240000	0.00310275	-0.06240000	0.00159448	-0.06240000	0.00229313	-0.06240000	0.00241415	-0.06240000	0.00209042
-0.05770000	0.00258063	-0.05770000	0.00259222	-0.05770000	0.00310817	-0.05770000	0.00264931	-0.05770000	0.00296071	-0.05770000	0.00283169	-0.05770000	0.00304392	-0.05770000	0.00155431	-0.05770000	0.00227144	-0.05770000	0.00239119	-0.05770000	0.00207080
-0.05300000	0.00248609	-0.05300000	0.00249921	-0.05300000	0.00299612	-0.05300000	0.00257019	-0.05300000	0.00292750	-0.05300000	0.00276365	-0.05300000	0.00298441	-0.05300000	0.00151378	-0.05300000	0.00224756	-0.05300000	0.00236728	-0.05300000	0.00204803
-0.04830000	0.00239115	-0.04830000	0.00240612	-0.04830000	0.00288356	-0.04830000	0.00249044	-0.04830000	0.00289252	-0.04830000	0.00269463	-0.04830000	0.00292331	-0.04830000	0.00147390	-0.04830000	0.00222544	-0.04830000	0.00234435	-0.04830000	0.00202869
-0.04360000	0.00229579	-0.04360000	0.00231180	-0.04360000	0.00277078	-0.04360000	0.00241108	-0.04360000	0.00285990	-0.04360000	0.00262671	-0.04360000	0.00286448	-0.04360000	0.00143456	-0.04360000	0.00220305	-0.04360000	0.00232098	-0.04360000	0.00200747
-0.03895000	0.00220197	-0.03895000	0.00221917	-0.03895000	0.00265712	-0.03895000	0.00233153	-0.03895000	0.00282695	-0.03895000	0.00255897	-0.03895000	0.00280263	-0.03895000	0.00139430	-0.03895000	0.00218003	-0.03895000	0.00229898	-0.03895000	0.00198467
-0.03425000	0.00210585	-0.03425000	0.00212544	-0.03425000	0.00254234	-0.03425000	0.00224973	-0.03425000	0.00279306	-0.03425000	0.00249098	-0.03425000	0.00274375	-0.03425000	0.00135364	-0.03425000	0.00215543	-0.03425000	0.00227492	-0.03425000	0.00196322
-0.02955000	0.00201032	-0.02955000	0.00203264	-0.02955000	0.00242815	-0.02955000	0.00216948	-0.02955000	0.00275996	-0.02955000	0.00242196	-0.02955000	0.00268077	-0.02955000	0.00131160	-0.02955000	0.00213190	-0.02955000	0.00225252	-0.02955000	0.00194127
-0.02485000	0.00191394	-0.02485000	0.00193960	-0.02485000	0.00231479	-0.02485000	0.00208929	-0.02485000	0.00272521	-0.02485000	0.00235569	-0.02485000	0.00261984	-0.02485000	0.00127157	-0.02485000	0.00210856	-0.02485000	0.00222870	-0.02485000	0.00191930
-0.02015000	0.00181699	-0.02015000	0.00184487	-0.02015000	0.00219870	-0.02015000	0.00200993	-0.02015000	0.00269200	-0.02015000	0.00228701	-0.02015000	0.00255539	-0.02015000	0.00123078	-0.02015000	0.00208464	-0.02015000	0.00220434	-0.02015000	0.00189846
-0.01545000	0.00172007	-0.01545000	0.00175007	-0.01545000	0.00208193	-0.01545000	0.00192788	-0.01545000	0.00265818	-0.01545000	0.00221762	-0.01545000	0.00249244	-0.01545000	0.00119005	-0.01545000	0.00205986	-0.01545000	0.00217941	-0.01545000	0.00187573
-0.01075000	0.00162460	-0.01075000	0.00165617	-0.01075000	0.00196564	-0.01075000	0.00184511	-0.01075000	0.00262156	-0.01075000	0.00214811	-0.01075000	0.00243153	-0.01075000	0.00114821	-0.01075000	0.00203481	-0.01075000	0.00215357	-0.01075000	0.00185321
-0.00605000	0.00152639	-0.00605000	0.00156058	-0.00605000	0.00184836	-0.00605000	0.00176209	-0.00605000	0.00258660	-0.00605000	0.00207757	-0.00605000	0.00236761	-0.00605000	0.00110606	-0.00605000	0.00200964	-0.00605000	0.00212925	-0.00605000	0.00183120
-0.00135000	0.00142810	-0.00135000	0.00146572	-0.00135000	0.00173103	-0.00135000	0.00167904	-0.00135000	0.00255012	-0.00135000	0.00200825	-0.00135000	0.00230492	-0.00135000	0.00106509	-0.00135000	0.00198643	-0.00135000	0.00210389	-0.00135000	0.00180860
0.00335000	0.00132950	0.00335000	0.00136984	0.00335000	0.00161153	0.00335000	0.00159343	0.00335000	0.00251626	0.00335000	0.00193849	0.00335000	0.00223922	0.00335000	0.00102259	0.00335000	0.00196274	0.00335000	0.00207888	0.00335000	0.00178696
0.00805000	0.00123166	0.00805000	0.00127490	0.00805000	0.00149366	0.00805000	0.00150921	0.00805000	0.00247963	0.00805000	0.00186882	0.00805000	0.00217470	0.00805000	0.00097929	0.00805000	0.00193716	0.00805000	0.00205375	0.00805000	0.00176246
0.01275000	0.00113343	0.01275000	0.00117852	0.01275000	0.00137674	0.01275000	0.00142602	0.01275000	0.00244182	0.01275000	0.00179803	0.01275000	0.00210848	0.01275000	0.00093743	0.01275000	0.00191206	0.01275000	0.00202931	0.01275000	0.00173997
0.01745000	0.00103386	0.01745000	0.00108305	0.01745000	0.00125665	0.01745000	0.00134050	0.01745000	0.00240758	0.01745000	0.00172864	0.01745000	0.00204258	0.01745000	0.00089506	0.01745000	0.00188544	0.01745000	0.00200212	0.01745000	0.00171678
0.02215000	0.00093387	0.02215000	0.00098754	0.02215000	0.00113696	0.02215000	0.00125480	0.02215000	0.00237219	0.02215000	0.00165734	0.02215000	0.00197708	0.02215000	0.00085282	0.02215000	0.00185971	0.02215000	0.00197608	0.02215000	0.00169308
0.02685000	0.00083320	0.02685000	0.00089000	0.02685000	0.00101578	0.02685000	0.00116990	0.02685000	0.00233427	0.02685000	0.00158687	0.02685000	0.00191058	0.02685000	0.00080913	0.02685000	0.00183415	0.02685000	0.00194922	0.02685000	0.00166989
0.03155000	0.00073464	0.03155000	0.00079464	0.03155000	0.00089459	0.03155000	0.00108337	0.03155000	0.00229815	0.03155000	0.00151736	0.03155000	0.00184551	0.03155000	0.00076678	0.03155000	0.00180896	0.03155000	0.00192228	0.03155000	0.00164522
0.03625000	0.00063454	0.03625000	0.00069744	0.03625000	0.00077276	0.03625000	0.00099741	0.03625000	0.00226144	0.03625000	0.00144615	0.03625000	0.00177787	0.03625000	0.00072302	0.03625000	0.00178239	0.03625000	0.00189692	0.03625000	0.00162078
0.04095000	0.00053421	0.04095000	0.00059933	0.04095000	0.00065072	0.04095000	0.00091124	0.04095000	0.00222200	0.04095000	0.00137418	0.04095000	0.00170932	0.04095000	0.00067825	0.04095000	0.00175450	0.04095000	0.00186934	0.04095000	0.00159698
0.04565000	0.00043309	0.04565000	0.00050333	0.04565000	0.00052798	0.04565000	0.00082300	0.04565000	0.00218389	0.04565000	0.00130212	0.04565000	0.00163976	0.04565000	0.00063518	0.04565000	0.00172719	0.04565000	0.00184316	0.04565000	0.00157313
0.05035000	0.00033122	0.05035000	0.00040486	0.05035000	0.00040443	0.05035000	0.00073594	0.05035000	0.00214809	0.05035000	0.00123182	0.05035000	0.00156931	0.05035000	0.00059154	0.05035000	0.00170011	0.05035000	0.00181495	0.05035000	0.00154846
0.05505000	0.00023002	0.05505000	0.00030790	0.05505000	0.00027985	0.05505000	0.00064773	0.05505000	0.00211179	0.05505000	0.00115833	0.05505000	0.00150099	0.05505000	0.00054744	0.05505000	0.00167306	0.05505000	0.00178716	0.05505000	0.00152318
0.05975000	0.00012880	0.05975000	0.00020979	0.05975000	0.00015377	0.05975000	0.00055898	0.05975000	0.00207123	0.05975000	0.00108664	0.05975000	0.00143065	0.05975000	0.00050257	0.05975000	0.00164539	0.05975000	0.00175910	0.05975000	0.00149977
0.06445000	0.00002488	0.06445000	0.00011123	0.06445000	0.00002630	0.06445000	0.00047048	0.06445000	0.00203338	0.06445000	0.00101354	0.06445000	0.00135879	0.06445000	0.00045781	0.06445000	0.00161762	0.06445000	0.00173232	0.06445000	0.00147499
0.06915000	-0.00007807	0.06915000	0.00001073	0.06915000	-0.00010096	0.06915000	0.00038069	0.06915000	0.00199424	0.06915000	0.00093985	0.06915000	0.00128763	0.06915000	0.00041273	0.06915000	0.00158955	0.06915000	0.00170417	0.06915000	0.00144947
0.07385000	-0.00018610	0.07385000	-0.00008782	0.07385000	-0.00023347	0.07385000	0.00029062	0.07385000	0.00195626	0.07385000	0.00086697	0.07385000	0.00121525	0.07385000	0.00036760	0.07385000	0.00155977	0.07385000	0.00167410	0.07385000	0.00142248
0.07850000	-0.00028905	0.07850000	-0.00018949	0.07850000	-0.00035892	0.07850000	0.00020062	0.07850000	0.00191628	0.07850000	0.00079494	0.07850000	0.00114272	0.07850000	0.00032232	0.07850000	0.00153173	0.07850000	0.00164442	0.07850000	0.00139574
0.08320000	-0.00039258	0.08320000	-0.00028858	0.08320000	-0.00048844	0.08320000	0.00010963	0.08320000	0.00187639	0.08320000	0.00072154	0.08320000	0.00106767	0.08320000	0.00027569	0.08320000	0.00150109	0.08320000	0.00161683	0.08320000	0.00136808
0.08790000	-0.00049654	0.08790000	-0.00038801	0.08790000	-0.00061889	0.08790000	0.00001729	0.08790000	0.00183655	0.08790000	0.00064692	0.08790000	0.00099148	0.08790000	0.00022950	0.08790000	0.00147189	0.08790000	0.00158813	0.08790000	0.00134138
0.09260000	-0.00060142	0.09260000	-0.00048833	0.09260000	-0.00074956	0.09260000	-0.00007483	0.09260000	0.00179622	0.09260000	0.00057376	0.09260000	0.00091743	0.09260000	0.00018312	0.09260000	0.00144047	0.09260000	0.00155838	0.09260000	0.00131525
0.09730000	-0.00070554	0.09730000	-0.00058858	0.09730000	-0.00088221	0.09730000	-0.00017068	0.09730000	0.00175388	0.09730000	0.00050244	0.09730000	0.00084283	0.09730000	0.00013590	0.09730000	0.00140944	0.09730000	0.00152769	0.09730000	0.00128859
0.10200000	-0.00081051	0.10200000	-0.00068846	0.10200000	-0.00101506	0.10200000	-0.00026344	0.10200000	0.00171368	0.10200000	0.00042805	0.10200000	0.00076775	0.10200000	0.00008727	0.10200000	0.00137963	0.10200000	0.00149762	0.10200000	0.00125971
0.10670000	-0.00091518	0.10670000	-0.00078951	0.10670000	-0.00114875	0.10670000	-0.00035730	0.10670000	0.00167164	0.10670000	0.00035292	0.10670000	0.00069103	0.10670000	0.00004048	0.10670000	0.00134730	0.10670000	0.00146605	0.10670000	0.00123103
0.11140000	-0.00102257	0.11140000	-0.00089151	0.11140000	-0.00128345	0.11140000	-0.00045154	0.11140000	0.00163095	0.11140000	0.00027776	0.11140000	0.00061227	0.11140000	-0.00000833	0.11140000	0.00131472	0.11140000	0.00143521	0.11140000	0.00120264
0.11610000	-0.00113104	0.11610000	-0.00099356	0.11610000	-0.00141883	0.11610000	-0.00054649	0.11610000	0.00159022	0.11610000	0.00020328	0.11610000	0.00053337	0.11610000	-0.00005842	0.11610000	0.00128298	0.11610000	0.00140247	0.11610000	0.00117434
