Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00212861	-0.10000000	0.00245592	-0.10000000	0.00238425	-0.10000000	0.00377308	-0.10000000	0.00282620	-0.10000000	0.00255390	-0.10000000	0.00245461	-0.10000000	0.00331895	-0.10000000	0.00321296	-0.10000000	0.00290090
-0.09530000	0.00208953	-0.09530000	0.00243218	-0.09530000	0.00234999	-0.09530000	0.00370656	-0.09530000	0.00275712	-0.09530000	0.00251547	-0.09530000	0.00241005	-0.09530000	0.00325481	-0.09530000	0.00312437	-0.09530000	0.00281091
-0.09060000	0.00204978	-0.09060000	0.00240826	-0.09060000	0.00231401	-0.09060000	0.00363926	-0.09060000	0.00268636	-0.09060000	0.00247617	-0.09060000	0.00236448	-0.09060000	0.00318802	-0.09060000	0.00303687	-0.09060000	0.00272013
-0.08590000	0.00201095	-0.08590000	0.00238351	-0.08590000	0.00227759	-0.08590000	0.00357133	-0.08590000	0.00261544	-0.08590000	0.00243780	-0.08590000	0.00231853	-0.08590000	0.00312082	-0.08590000	0.00294928	-0.08590000	0.00262963
-0.08120000	0.00197193	-0.08120000	0.00235780	-0.08120000	0.00224170	-0.08120000	0.00350409	-0.08120000	0.00254585	-0.08120000	0.00239834	-0.08120000	0.00227365	-0.08120000	0.00305281	-0.08120000	0.00286135	-0.08120000	0.00253992
-0.07650000	0.00193169	-0.07650000	0.00233338	-0.07650000	0.00220511	-0.07650000	0.00343988	-0.07650000	0.00247630	-0.07650000	0.00235982	-0.07650000	0.00222881	-0.07650000	0.00298846	-0.07650000	0.00277422	-0.07650000	0.00244991
-0.07180000	0.00189285	-0.07180000	0.00230797	-0.07180000	0.00216712	-0.07180000	0.00336861	-0.07180000	0.00240576	-0.07180000	0.00231985	-0.07180000	0.00218324	-0.07180000	0.00292213	-0.07180000	0.00268657	-0.07180000	0.00236046
-0.06710000	0.00185322	-0.06710000	0.00228381	-0.06710000	0.00213060	-0.06710000	0.00330342	-0.06710000	0.00233492	-0.06710000	0.00228061	-0.06710000	0.00213807	-0.06710000	0.00285540	-0.06710000	0.00259915	-0.06710000	0.00227035
-0.06240000	0.00181410	-0.06240000	0.00225825	-0.06240000	0.00209470	-0.06240000	0.00323691	-0.06240000	0.00226461	-0.06240000	0.00224096	-0.06240000	0.00209298	-0.06240000	0.00278821	-0.06240000	0.00251109	-0.06240000	0.00218018
-0.05770000	0.00177385	-0.05770000	0.00223319	-0.05770000	0.00205885	-0.05770000	0.00316794	-0.05770000	0.00219488	-0.05770000	0.00220265	-0.05770000	0.00204708	-0.05770000	0.00272250	-0.05770000	0.00242280	-0.05770000	0.00208954
-0.05300000	0.00173228	-0.05300000	0.00220647	-0.05300000	0.00202284	-0.05300000	0.00309876	-0.05300000	0.00212466	-0.05300000	0.00216157	-0.05300000	0.00200221	-0.05300000	0.00265700	-0.05300000	0.00233382	-0.05300000	0.00199982
-0.04830000	0.00169296	-0.04830000	0.00218269	-0.04830000	0.00198597	-0.04830000	0.00302943	-0.04830000	0.00205345	-0.04830000	0.00212171	-0.04830000	0.00195753	-0.04830000	0.00258941	-0.04830000	0.00224520	-0.04830000	0.00191014
-0.04360000	0.00165271	-0.04360000	0.00215699	-0.04360000	0.00194798	-0.04360000	0.00295992	-0.04360000	0.00198387	-0.04360000	0.00208335	-0.04360000	0.00191107	-0.04360000	0.00252296	-0.04360000	0.00215607	-0.04360000	0.00182022
-0.03895000	0.00161207	-0.03895000	0.00212940	-0.03895000	0.00191223	-0.03895000	0.00289246	-0.03895000	0.00191351	-0.03895000	0.00204322	-0.03895000	0.00186480	-0.03895000	0.00245620	-0.03895000	0.00206820	-0.03895000	0.00173037
-0.03425000	0.00157119	-0.03425000	0.00210369	-0.03425000	0.00187609	-0.03425000	0.00282201	-0.03425000	0.00184333	-0.03425000	0.00200184	-0.03425000	0.00181908	-0.03425000	0.00238931	-0.03425000	0.00197963	-0.03425000	0.00164012
-0.02955000	0.00152977	-0.02955000	0.00207909	-0.02955000	0.00184038	-0.02955000	0.00275336	-0.02955000	0.00177327	-0.02955000	0.00196149	-0.02955000	0.00177367	-0.02955000	0.00232257	-0.02955000	0.00189179	-0.02955000	0.00155022
-0.02485000	0.00148934	-0.02485000	0.00205228	-0.02485000	0.00180059	-0.02485000	0.00268502	-0.02485000	0.00170206	-0.02485000	0.00192201	-0.02485000	0.00172894	-0.02485000	0.00225623	-0.02485000	0.00180383	-0.02485000	0.00146072
-0.02015000	0.00144832	-0.02015000	0.00202675	-0.02015000	0.00176406	-0.02015000	0.00261567	-0.02015000	0.00163170	-0.02015000	0.00188256	-0.02015000	0.00168159	-0.02015000	0.00218711	-0.02015000	0.00171620	-0.02015000	0.00137110
-0.01545000	0.00140676	-0.01545000	0.00200037	-0.01545000	0.00172726	-0.01545000	0.00254451	-0.01545000	0.00156093	-0.01545000	0.00184293	-0.01545000	0.00163539	-0.01545000	0.00212008	-0.01545000	0.00162637	-0.01545000	0.00128123
-0.01075000	0.00136694	-0.01075000	0.00197470	-0.01075000	0.00168990	-0.01075000	0.00247441	-0.01075000	0.00148968	-0.01075000	0.00180092	-0.01075000	0.00158965	-0.01075000	0.00205350	-0.01075000	0.00153758	-0.01075000	0.00119111
