Mo_room_400Sb_35Se_1 2026-07-09 12-37-33		Mo_room_400Sb_35Se_2 2026-07-09 12-39-10		Mo_room_400Sb_35Se_3 2026-07-09 12-40-56		Mo_room_400Sb_35Se_5 2026-07-09 12-44-35		Mo_room_400Sb_35Se_6 2026-07-09 12-46-48		Mo_room_400Sb_35Se_7 2026-07-09 12-48-47		Mo_room_400Sb_35Se_8 2026-07-09 12-49-56		Mo_room_400Sb_35Se_9 2026-07-09 12-51-28		Mo_room_400Sb_35Se_10 2026-07-09 12-54-37		Mo_room_400Sb_35Se_11 2026-07-09 12-55-41		Mo_room_400Sb_35Se_12 2026-07-09 12-57-17	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.01000033	-0.10000000	0.01000034	-0.10000000	0.01000035	-0.10000000	0.01000034	-0.10000000	0.01000033	-0.10000000	0.01000033	-0.10000000	0.01000033	-0.10000000	0.01000012	-0.10000000	0.01000039	-0.10000000	0.01000032	-0.10000000	0.01000034
-0.09530000	0.01000034	-0.09530000	0.01000040	-0.09530000	0.01000034	-0.09530000	0.01000034	-0.09530000	0.01000031	-0.09530000	0.01000033	-0.09530000	0.01000033	-0.09530000	0.01000035	-0.09530000	0.01000030	-0.09530000	0.01000033	-0.09530000	0.01000034
-0.09060000	0.01000034	-0.09060000	0.01000034	-0.09060000	0.01000034	-0.09060000	0.01000033	-0.09060000	0.01000032	-0.09060000	0.01000033	-0.09060000	0.01000033	-0.09060000	0.01000033	-0.09060000	0.01000033	-0.09060000	0.01000033	-0.09060000	0.01000034
-0.08590000	0.01000034	-0.08590000	0.01000033	-0.08590000	0.01000034	-0.08590000	0.01000036	-0.08590000	0.01000030	-0.08590000	0.01000033	-0.08590000	0.01000033	-0.08590000	0.01000023	-0.08590000	0.01000035	-0.08590000	0.01000034	-0.08590000	0.01000033
-0.08120000	0.01000034	-0.08120000	0.01000035	-0.08120000	0.01000033	-0.08120000	0.01000033	-0.08120000	0.01000033	-0.08120000	0.01000033	-0.08120000	0.01000034	-0.08120000	0.01000031	-0.08120000	0.01000032	-0.08120000	0.01000033	-0.08120000	0.01000034
-0.07650000	0.01000033	-0.07650000	0.01000034	-0.07650000	0.01000034	-0.07650000	0.01000033	-0.07650000	0.01000032	-0.07650000	0.01000033	-0.07650000	0.01000033	-0.07650000	0.01000030	-0.07650000	0.01000033	-0.07650000	0.01000037	-0.07650000	0.01000034
-0.07180000	0.01000033	-0.07180000	0.01000035	-0.07180000	0.01000034	-0.07180000	0.01000038	-0.07180000	0.01000034	-0.07180000	0.01000034	-0.07180000	0.01000033	-0.07180000	0.01000021	-0.07180000	0.01000029	-0.07180000	0.01000034	-0.07180000	0.01000034
-0.06710000	0.01000034	-0.06710000	0.01000033	-0.06710000	0.01000034	-0.06710000	0.01000036	-0.06710000	0.01000032	-0.06710000	0.01000033	-0.06710000	0.01000033	-0.06710000	0.01000026	-0.06710000	0.01000035	-0.06710000	0.01000033	-0.06710000	0.01000034
-0.06240000	0.01000034	-0.06240000	0.01000034	-0.06240000	0.01000034	-0.06240000	0.01000033	-0.06240000	0.01000033	-0.06240000	0.01000034	-0.06240000	0.01000033	-0.06240000	0.01000031	-0.06240000	0.01000033	-0.06240000	0.01000039	-0.06240000	0.01000035
-0.05770000	0.01000034	-0.05770000	0.01000034	-0.05770000	0.01000034	-0.05770000	0.01000030	-0.05770000	0.01000033	-0.05770000	0.01000033	-0.05770000	0.01000033	-0.05770000	0.01000034	-0.05770000	0.01000033	-0.05770000	0.01000033	-0.05770000	0.01000034
-0.05300000	0.01000034	-0.05300000	0.01000033	-0.05300000	0.01000033	-0.05300000	0.01000033	-0.05300000	0.01000033	-0.05300000	0.01000033	-0.05300000	0.01000033	-0.05300000	0.01000030	-0.05300000	0.01000034	-0.05300000	0.01000039	-0.05300000	0.01000034
-0.04830000	0.01000034	-0.04830000	0.01000032	-0.04830000	0.01000034	-0.04830000	0.01000032	-0.04830000	0.01000032	-0.04830000	0.01000033	-0.04830000	0.01000033	-0.04830000	0.01000035	-0.04830000	0.01000037	-0.04830000	0.01000034	-0.04830000	0.01000034
-0.04360000	0.01000034	-0.04360000	0.01000035	-0.04360000	0.01000033	-0.04360000	0.01000031	-0.04360000	0.01000032	-0.04360000	0.01000033	-0.04360000	0.01000033	-0.04360000	0.01000040	-0.04360000	0.01000037	-0.04360000	0.01000027	-0.04360000	0.01000034
-0.03895000	0.01000034	-0.03895000	0.01000034	-0.03895000	0.01000033	-0.03895000	0.01000032	-0.03895000	0.01000032	-0.03895000	0.01000033	-0.03895000	0.01000034	-0.03895000	0.01000033	-0.03895000	0.01000034	-0.03895000	0.01000032	-0.03895000	0.01000034
-0.03425000	0.01000033	-0.03425000	0.01000037	-0.03425000	0.01000034	-0.03425000	0.00998554	-0.03425000	0.01000033	-0.03425000	0.01000033	-0.03425000	0.01000034	-0.03425000	0.01000036	-0.03425000	0.01000033	-0.03425000	0.01000033	-0.03425000	0.01000034
-0.02955000	0.01000034	-0.02955000	0.01000033	-0.02955000	0.01000034	-0.02955000	0.00809025	-0.02955000	0.01000032	-0.02955000	0.01000034	-0.02955000	0.01000034	-0.02955000	0.01000037	-0.02955000	0.01000033	-0.02955000	0.01000033	-0.02955000	0.01000040
-0.02485000	0.01000034	-0.02485000	0.00936406	-0.02485000	0.01000033	-0.02485000	0.00640279	-0.02485000	0.01000032	-0.02485000	0.01000034	-0.02485000	0.01000034	-0.02485000	0.01000034	-0.02485000	0.01000033	-0.02485000	0.01000033	-0.02485000	0.00848011
-0.02015000	0.01000034	-0.02015000	0.00754463	-0.02015000	0.01000033	-0.02015000	0.00493025	-0.02015000	0.01000034	-0.02015000	0.01000034	-0.02015000	0.01000034	-0.02015000	0.01000028	-0.02015000	0.01000035	-0.02015000	0.01000033	-0.02015000	0.00623015
-0.01545000	0.01000034	-0.01545000	0.00583079	-0.01545000	0.01000034	-0.01545000	0.00365187	-0.01545000	0.01000034	-0.01545000	0.01000033	-0.01545000	0.01000034	-0.01545000	0.01000030	-0.01545000	0.01000033	-0.01545000	0.01000016	-0.01545000	0.00441464
-0.01075000	0.01000040	-0.01075000	0.00422859	-0.01075000	0.00714275	-0.01075000	0.00253147	-0.01075000	0.01000036	-0.01075000	0.01000034	-0.01075000	0.01000034	-0.01075000	0.01000031	-0.01075000	0.01000032	-0.01075000	0.01000033	-0.01075000	0.00293580
-0.00605000	0.00996144	-0.00605000	0.00272630	-0.00605000	0.00289717	-0.00605000	0.00153251	-0.00605000	0.01000033	-0.00605000	0.01000034	-0.00605000	0.01000033	-0.00605000	0.00991571	-0.00605000	0.01000034	-0.00605000	0.01000031	-0.00605000	0.00169367
-0.00135000	0.00270141	-0.00135000	0.00131606	-0.00135000	0.00075441	-0.00135000	0.00061762	-0.00135000	0.00474862	-0.00135000	0.00473788	-0.00135000	0.00289395	-0.00135000	0.00288705	-0.00135000	0.00327659	-0.00135000	0.00488165	-0.00135000	0.00060660
0.00335000	-0.00462986	0.00335000	-0.00004834	0.00335000	-0.00036563	0.00335000	-0.00028206	0.00335000	-0.00944073	0.00335000	-0.00533184	0.00335000	-0.00504001	0.00335000	-0.00432189	0.00335000	-0.00658855	0.00335000	-0.00809264	0.00335000	-0.00043512
0.00805000	-0.00999998	0.00805000	-0.00141470	0.00805000	-0.00874501	0.00805000	-0.00126607	0.00805000	-0.00999995	0.00805000	-0.00999978	0.00805000	-0.00999991	0.00805000	-0.00999991	0.00805000	-0.00997633	0.00805000	-0.01000068	0.00805000	-0.00156146
0.01275000	-0.00999992	0.01275000	-0.00288024	0.01275000	-0.00999389	0.01275000	-0.00248061	0.01275000	-0.00999992	0.01275000	-0.00999989	0.01275000	-0.00999992	0.01275000	-0.00999806	0.01275000	-0.00999991	0.01275000	-0.00999992	0.01275000	-0.00306122
0.01745000	-0.00999992	0.01745000	-0.00449774	0.01745000	-0.00999995	0.01745000	-0.00408076	0.01745000	-0.00999992	0.01745000	-0.00999993	0.01745000	-0.00999993	0.01745000	-0.00999983	0.01745000	-0.00999993	0.01745000	-0.00999995	0.01745000	-0.00570389
0.02215000	-0.00999991	0.02215000	-0.00631150	0.02215000	-0.00999994	0.02215000	-0.00632447	0.02215000	-0.00999993	0.02215000	-0.00999998	0.02215000	-0.00999993	0.02215000	-0.00999986	0.02215000	-0.00999991	0.02215000	-0.00999991	0.02215000	-0.00999993
0.02685000	-0.00999992	0.02685000	-0.00840555	0.02685000	-0.00999993	0.02685000	-0.00999995	0.02685000	-0.00999992	0.02685000	-0.00999994	0.02685000	-0.00999993	0.02685000	-0.00999983	0.02685000	-0.00999992	0.02685000	-0.00999998	0.02685000	-0.00999992
0.03155000	-0.00999991	0.03155000	-0.00999997	0.03155000	-0.00999992	0.03155000	-0.00999992	0.03155000	-0.00999993	0.03155000	-0.00999992	0.03155000	-0.00999994	0.03155000	-0.00999963	0.03155000	-0.00999992	0.03155000	-0.00999989	0.03155000	-0.00999993
0.03625000	-0.00999992	0.03625000	-0.00999992	0.03625000	-0.00999993	0.03625000	-0.00999993	0.03625000	-0.00999993	0.03625000	-0.00999987	0.03625000	-0.00999994	0.03625000	-0.00999996	0.03625000	-0.00999812	0.03625000	-0.01000001	0.03625000	-0.00999992
0.04095000	-0.00999992	0.04095000	-0.00999995	0.04095000	-0.00999992	0.04095000	-0.00999992	0.04095000	-0.00999992	0.04095000	-0.00999993	0.04095000	-0.00999993	0.04095000	-0.00999992	0.04095000	-0.00999993	0.04095000	-0.00999975	0.04095000	-0.00999992
0.04565000	-0.00999992	0.04565000	-0.00999601	0.04565000	-0.00999993	0.04565000	-0.00999992	0.04565000	-0.00999993	0.04565000	-0.00999986	0.04565000	-0.00999992	0.04565000	-0.01000004	0.04565000	-0.00999993	0.04565000	-0.00999995	0.04565000	-0.00999992
0.05035000	-0.00999992	0.05035000	-0.00999872	0.05035000	-0.00999992	0.05035000	-0.00999993	0.05035000	-0.00999992	0.05035000	-0.00999992	0.05035000	-0.00999993	0.05035000	-0.00999986	0.05035000	-0.00999992	0.05035000	-0.00999992	0.05035000	-0.00999993
0.05505000	-0.00999992	0.05505000	-0.00999988	0.05505000	-0.00999992	0.05505000	-0.00999992	0.05505000	-0.00999992	0.05505000	-0.00999992	0.05505000	-0.00999993	0.05505000	-0.00999971	0.05505000	-0.00999991	0.05505000	-0.00999985	0.05505000	-0.00999993
0.05975000	-0.00999992	0.05975000	-0.00999990	0.05975000	-0.00999991	0.05975000	-0.00999993	0.05975000	-0.00999992	0.05975000	-0.00999989	0.05975000	-0.00999993	0.05975000	-0.00999993	0.05975000	-0.00999991	0.05975000	-0.00999992	0.05975000	-0.00999993
0.06445000	-0.00999991	0.06445000	-0.00999702	0.06445000	-0.00999993	0.06445000	-0.00999992	0.06445000	-0.00999993	0.06445000	-0.00999993	0.06445000	-0.00999992	0.06445000	-0.00999986	0.06445000	-0.00999992	0.06445000	-0.00999992	0.06445000	-0.00999993
0.06915000	-0.00999992	0.06915000	-0.00996583	0.06915000	-0.00999992	0.06915000	-0.00999991	0.06915000	-0.00999992	0.06915000	-0.00999989	0.06915000	-0.00999992	0.06915000	-0.00999990	0.06915000	-0.00999991	0.06915000	-0.00999994	0.06915000	-0.00999993
0.07385000	-0.00999993	0.07385000	-0.00999993	0.07385000	-0.00999992	0.07385000	-0.00999992	0.07385000	-0.00999992	0.07385000	-0.00999992	0.07385000	-0.00999992	0.07385000	-0.00999995	0.07385000	-0.00999991	0.07385000	-0.00999993	0.07385000	-0.00999992
0.07850000	-0.00999993	0.07850000	-0.00999993	0.07850000	-0.00999991	0.07850000	-0.00999994	0.07850000	-0.00999992	0.07850000	-0.00999994	0.07850000	-0.00999993	0.07850000	-0.00999985	0.07850000	-0.00999992	0.07850000	-0.00999992	0.07850000	-0.00999991
0.08320000	-0.00999993	0.08320000	-0.00999993	0.08320000	-0.00999993	0.08320000	-0.00999992	0.08320000	-0.00999992	0.08320000	-0.00999992	0.08320000	-0.00999991	0.08320000	-0.00999988	0.08320000	-0.00999992	0.08320000	-0.00999993	0.08320000	-0.00999992
0.08790000	-0.00999993	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999992	0.08790000	-0.00999993	0.08790000	-0.00999993	0.08790000	-0.00999991	0.08790000	-0.01000025	0.08790000	-0.00999993	0.08790000	-0.00999992
